id,Name,Segments,Categories,Incorporation year,Launch year,Ownership type,Incorporation Country,Operational HQ,Number of employees,Cessation date,Cessation of op. reason,Acquisition status,Status
3705,VALÃš,"Digital Lending, Digital Payments","Customer Cash-Advance, eMoney Issuers, Payment Gateways, Acquiring Services Providers for Merchants, Money Transfer (P2P / P2B / B2P / B2B)",,2019,Private,Slovenia,Slovenia,1001-5000,,,,Active
3706,Vantek,"Enterprise Tech Provisioning, Cryptoasset Exchange, Digital Payments, WealthTech","Cloud Computing, Financial Management & Business Intelligence, Trading Bots, Payment Gateways, Digital Wealth Management",,2018,Private,Argentina,Argentina,Nov-50,,,,Active
3707,Varo,"Digital Banks, Digital Savings, Digital Lending, Digital Payments, WealthTech","Fully Digitally Native Bank (Retail), Digital Micro Saving Solutions, Customer Cash-Advance, Money Transfer (P2P / P2B / B2P / B2B), Personal Financial Management / Planning",2015.0,2016,Private,United States,United States,501-1000,,,,Active
3708,Vauld,"Digital Payments, Cryptoasset Exchange, Enterprise Tech Provisioning, Digital Lending","Consumer Spending, Retail Brokerage Services, Order-Book, API Management, P2P / Marketplace Consumer Lending, Interest-bearing account",2019.0,2019,Private,Singapore,Singapore,51-200,,,,Active
3709,Vault of Satoshi,Cryptoasset Exchange,Order-Book,2014.0,2013,Private,Canada,Canada,Nov-50,2015.0,,,Inactive
3710,Vaultoro,Cryptoasset Exchange,Order-Book,2014.0,2015,Private,United Kingdom,United Kingdom,,,,,Active
3711,Vayana,Digital Capital Raising,Capital Raising Institutional Brokerage,,2015,Private,India,India,51-200,,,,Active
3712,VayMÆ°á»£n,"Digital Lending, InsurTech","P2P / Marketplace Consumer Lending, On-Demand Insurance",2017.0,2017,Private,Vietnam,Vietnam,51-200,,,,Active
3713,VCHello,Digital Capital Raising,Equity-Based Crowdfunding,2014.0,2014,Private,China,China,,,,,Active
3714,Veefin,"Digital Lending, Enterprise Tech Provisioning","Invoice Trading, Financial Management & Business Intelligence",2020.0,2016,Private,India,India,51-200,,,,Active
3715,Veem,Digital Payments,Money Transfer (P2P / P2B / B2P / B2B),2014.0,2015,Private,United States,United States,,,,,Active
3716,Velocity,"Digital Capital Raising, Digital Payments","Revenue / Profit Share Crowdfunding, eMoney Issuers, Money Transfer (P2P / P2B / B2P / B2B)",2019.0,2020,Private,India,India,Nov-50,,,,Active
3717,Velotrade,Digital Lending,Invoice Trading,2015.0,2015,Private,"Hong Kong SAR, China","Hong Kong SAR, China",30,,,,Active
3718,Venmetro,Digital Lending,Balance Sheet Consumer Lending,2015.0,2016,Private,Panama,Panama,30,,,,Active
3719,Venminder,"Enterprise Tech Provisioning, RegTech","Financial Management & Business Intelligence, Risk Analytics, Dynamic Compliance",2011.0,2013,Private,United States,United States,51-200,,,,Active
3720,Ventuary Lab,Digital Payments,Algorithmic Stablecoin,,2019,Private,Unidentified,Unidentified,10-Jan,,,,Active
3721,Venture Rocket Eurasia,Digital Capital Raising,"Capital Raising Institutional Brokerage, Equity-Based Crowdfunding",2020.0,2021,Private,Kazakhstan,Kazakhstan,Nov-50,,,,Active
3722,VentureCrowd,Digital Capital Raising,Equity-Based Crowdfunding,2013.0,2014,Private,Australia,Australia,30,,,,Active
3723,Venue,Digital Capital Raising,Reward-Based Crowdfunding,2018.0,2018,Private,Sweden,Sweden,10-Jan,,,,Active
3724,Veridate Financial,"RegTech, Digital Identity","Dynamic Compliance, Regulatory Reporting, Profiling & Due Diligence, Risk Analytics, KYC Solutions, KYC & AML",2014.0,2015,Private,"Hong Kong SAR, China","Hong Kong SAR, China",Nov-50,,,,Active
3725,Verifier,"RegTech, WealthTech, Enterprise Tech Provisioning","Profiling & Due Diligence, Personal Financial Management / Planning, API Management",2017.0,2015,Private,Australia,Australia,10-Jan,,,,Active
3726,Verigram,Digital Identity,Security & Biometrics,2017.0,2017,Private,Kazakhstan,Kazakhstan,Nov-50,,,,Active
3727,Verihubs,Digital Identity,"KYC Solutions, KYC & AML",,2019,Private,Indonesia,Indonesia,51-200,,,,Active
3728,Veriledger,Enterprise Tech Provisioning,"Digital Accounting, Taxation",2018.0,2018,Private,United States,United States,10-Jan,,,,Active
3729,Verkami,Digital Capital Raising,Reward-Based Crowdfunding,2014.0,2011,Private,Spain,Spain,6,,,,Active
3730,Verqor,Digital Lending,"Customer Cash-Advance, Balance Sheet Consumer Lending",2017.0,2017,Private,Mexico,Mexico,Nov-50,,,,Active
3731,Very Good Security,"RegTech, Digital Identity, Enterprise Tech Provisioning","Dynamic Compliance, Fraud Prevention & Risk Management, API Management",2015.0,2016,Private,United States,United States,51-200,,,,Active
3732,VeryHash,Consensus Services,"Cloud Mining, Node manufacturing",2019.0,2019,Private,China,China,,,,,Active
3733,Vesicash,Digital Payments,Settlement & Clearing Services Providers,2018.0,2019,Private,Nigeria,Nigeria,10-Jan,,,,Active
3734,Vested Finance,Digital Capital Raising,Equity-Based Crowdfunding,2015.0,2015,Private,Canada,United States,30,,,,Active
3735,VestLo LLC.,Digital Capital Raising,"Equity-Based Crowdfunding, Revenue / Profit Share Crowdfunding, Real Estate Crowdfunding",2015.0,2016,Private,United States,United States,6,,,,Active
3736,ViaBill,Digital Lending,Customer Cash-Advance,2009.0,2014,Private,Denmark,Denmark,51-200,,,,Active
3737,Viabtc,"Consensus Services, Cryptoasset Exchange, Digital Custody, Enterprise Tech Provisioning, Digital Lending","Pool Operation, Cloud Mining, Staking-as-a-Service, Decentralised Exchange (DEX) Relayer, Order-Book, Advanced Trading Services, Unhosted Cryptoasset Wallet, API Management, Balance Sheet Consumer Lending, Block Explorers",2016.0,2016,Private,"Hong Kong SAR, China",China,10-Jan,,,,Active
3738,VIAINVEST,Digital Lending,"Debt-Based Securities, P2P / Marketplace Business Lending",2016.0,2017,Private,Latvia,Latvia,10-Jan,,,,Active
3739,Vikali,Enterprise Tech Provisioning,Digital Accounting,,2020,Private,Unidentified,Kenya,10-Jan,2021.0,,,Inactive
3740,Village Capital,Digital Capital Raising,Equity-Based Crowdfunding,2009.0,2009,Private,United States,United States,30,,,,Active
3741,Vindi,"Digital Payments, Enterprise Tech Provisioning","Payment Gateways, Cloud Computing, Financial Management & Business Intelligence",2013.0,2013,Private,Brazil,Brazil,51-200,,,,Active
3742,Vircle,"RegTech, Digital Payments, Digital Custody","Risk Analytics, Regulatory Reporting, eMoney Issuers, eMoney Wallet",2018.0,2018,Private,Malaysia,Malaysia,10-Jan,,,,Active
3743,Vircurex,Cryptoasset Exchange,Order-Book,2011.0,2011,Private,Unidentified,China,10-Jan,2014.0,,,Inactive
3744,Virgil,Digital Capital Raising,Real Estate Crowdfunding,2018.0,2019,Private,France,France,Nov-50,,,,Active
3745,Virgil Assist,InsurTech,Digital Brokers or Agents,2017.0,2019,Private,Australia,Australia,10-Jan,,,,Active
3746,Virtex,Cryptoasset Exchange,Order-Book,,2014,Private,Unidentified,Lithuania,,2015.0,,,Inactive
3747,Vise,Enterprise Tech Provisioning,Financial Management & Business Intelligence,2016.0,2019,Private,United States,United States,51-200,,,,Active
3748,Visible Capital,"RegTech, WealthTech","Risk Analytics, Regulatory Reporting, Digital Wealth Management, Profiling & Due Diligence, Personal Financial Management / Planning, Robo Retirement / Pension Planning, Robo-Advisors",2018.0,2018,Private,United Kingdom,United Kingdom,10-Jan,,,,Active
3749,Visoor,Digital Lending,"Balance Sheet Consumer Lending, Debt-Based Securities, Invoice Trading, Balance Sheet Business Lending",2015.0,2015,Private,Mexico,Mexico,30,,,,Active
3750,Visor,Enterprise Tech Provisioning,Digital Accounting,2016.0,2016,Private,United States,United States,Nov-50,,,,Active
3751,VISOR ADL,Alternative Credit Analytics,Credit Scoring,2015.0,2015,Private,Mexico,Mexico,51-200,2021.0,,,Inactive
3752,Vita,"Cryptoasset Exchange, Digital Custody, Digital Payments","Retail Brokerage Services, Hosted Cryptoasset Wallet, Payment Gateways, Payment processor, Money Transfer (Cryptoasset), Money Transfer (P2P / P2B / B2P / B2B)",2019.0,2020,Private,Chile,Chile,Nov-50,,,,Active
3753,Viva Wallet,Digital Payments,"Money Transfer (P2P / P2B / B2P / B2B), Points of Access (PoS / mPoS / Online PoS), eMoney Issuers, Acquiring Services Providers for Merchants",,2015,Private,Greece,Greece,501-1000,,,,Active
3754,Viventor,Digital Lending,P2P / Marketplace Consumer Lending,2011.0,2013,Private,Spain,Latvia,6,,,,Active
3755,Vivid Money,"WealthTech, Digital Banks","Personal Financial Management / Planning, Fully Digitally Native Bank (Retail)",2019.0,2020,Private,Germany,Germany,201-500,,,,Active
3756,VivifiIndia,Digital Lending,Balance Sheet Consumer Lending,2016.0,2019,Private,India,India,51-200,,,,Active
3757,VNLIFE,Digital Payments,"Payment Gateways, Top-ups & Refills, Money Transfer (P2P / P2B / B2P / B2B)",2018.0,2007,Private,Vietnam,Vietnam,1001-5000,,,,Active
3758,VNX Exchange,Digital Capital Raising,Equity-Based Crowdfunding,2018.0,2018,Private,Liechtenstein,Luxembourg,Nov-50,,,,Active
3759,Volabit,"Cryptoasset Exchange, Digital Custody","Retail Brokerage Services, Hosted Cryptoasset Wallet, API Interface",2014.0,2014,Private,Mexico,Mexico,Nov-50,,,,Active
3760,Voldaan,Digital Lending,Invoice Trading,2014.0,2014,Private,Netherlands,Netherlands,6,,,,Active
3761,Voleo,WealthTech,Social Trading,2015.0,2015,Public,Canada,Canada,10-Jan,,,,Active
3762,Volpit,Digital Capital Raising,Equity-Based Crowdfunding,2012.0,2012,Private,United Kingdom,United Kingdom,6,,,,Active
3763,Volt,"Digital Payments, Digital Identity","API Hubs for Payments, Payment Gateways, Fraud Prevention & Risk Management",2019.0,2019,Private,United Kingdom,United Kingdom,51-200,,,,Active
3764,Volt Bank,Digital Banks,"Fully Digitally Native Bank (Retail), Banking-as-a-Service (BaaS)",2017.0,2019,Private,Australia,Australia,51-200,,,,Active
3765,Vooli,InsurTech,On-Demand Insurance,2019.0,2019,Private,Kenya,Kenya,10-Jan,,,,Active
3766,Voor je Buurt,Digital Capital Raising,"Donation-Based Crowdfunding, Reward-Based Crowdfunding",2012.0,2012,Non profit,Netherlands,Netherlands,10-Jan,,,,Active
3767,Voordekunst,Digital Capital Raising,"Reward-Based Crowdfunding, Donation-Based Crowdfunding",2010.0,2016,Private,Netherlands,Netherlands,6,,,,Active
3768,VOSPAY,Digital Lending,"Customer Cash-Advance, P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2017.0,2018,Private,Indonesia,Indonesia,Nov-50,,,,Active
3769,Vouch Insurance,Digital Lending,Balance Sheet Consumer Lending,2014.0,2015,Private,United States,United States,30,,,,Active
3770,VoxSmart,"RegTech, Enterprise Tech Provisioning","Risk Analytics, Dynamic Compliance, AI / ML / NLP",2006.0,2010,Private,United Kingdom,United Kingdom,51-200,,,,Active
3771,Voyager,"Cryptoasset Exchange, Digital Custody, Digital Payments","Retail Brokerage Services, Order-Book, Aggregation, Institutional Brokerage Services, Hosted Cryptoasset Wallet, Consumer Spending",2018.0,2018,Public,United States,United States,51-200,,,,Active
3772,Voygo,Digital Payments,eMoney Issuers,2007.0,2017,Private,Peru,Peru,10-Jan,,,,Active
3773,VPD Money,Digital Banks,"Fully Digitally Native Bank (Retail), Fully Digitally Native Bank (MSME)",,2020,Private,Nigeria,Nigeria,Nov-50,,,,Active
3774,VU Security,Digital Identity,"Fraud Prevention & Risk Management, KYC Solutions",,2021,Private,Argentina,Argentina,51-200,,,,Active
3775,Vyapar,"Enterprise Tech Provisioning, Digital Payments","Digital Accounting, Electronic Invoicing, Points of Access (PoS / mPoS / Online PoS)",2015.0,2016,Private,India,India,51-200,,,,Active
3776,Vybe,Digital Payments,eMoney Issuers,2019.0,2020,Private,France,France,Nov-50,,,,Active
3777,Wacai,"WealthTech, Digital Lending","Digital Wealth Management, Personal Financial Management / Planning, Balance Sheet Consumer Lending",,2009,Private,China,China,1001-5000,,,,Active
3778,Waddle,Digital Lending,Balance Sheet Business Lending,2015.0,2015,Private,Australia,Australia,30,,,,Active
3779,WADIZ,Digital Capital Raising,"Reward-Based Crowdfunding, Equity-Based Crowdfunding",2012.0,2012,Private,"Korea, Rep.","Korea, Rep.",30,,,,Active
3780,Wagestream,"WealthTech, Digital Savings","Personal Financial Management / Planning, Digital Micro Saving Solutions",2018.0,2018,Private,United Kingdom,United Kingdom,51-200,,,,Active
3781,Wallet Engine,Enterprise Tech Provisioning,API Management,2019.0,2019,Private,Singapore,Singapore,10-Jan,,,,Active
3782,Wallets.Africa,Digital Payments,"Money Transfer (P2P / P2B / B2P / B2B), Top-ups & Refills, Digital Remittances (Domestic-P2P), Digital Remittances (Cross Border-P2P), API Hubs for Payments",2017.0,2016,Private,Nigeria,Nigeria,Nov-50,,,,Active
3783,Wallezz ,"Digital Payments, Enterprise Tech Provisioning","Money Transfer (P2P / P2B / B2P / B2B), Acquiring Services Providers for Merchants, Electronic Invoicing",2016.0,2016,Private,Indonesia,Indonesia,Nov-50,,,,Active
3784,WALLIANCE,Digital Capital Raising,Real Estate Crowdfunding,2016.0,2016,Private,Italy,Italy,6,,,,Active
3785,Wally,WealthTech,Digital Wealth Management,2013.0,2013,Private,Unidentified,United States,10-Jan,,,,Active
3786,Walnut,"WealthTech, Digital Payments","Personal Financial Management / Planning, Money Transfer (P2P / P2B / B2P / B2B)",2014.0,2014,Private,India,India,Nov-50,,,,Active
3787,Walrus Labs,"Digital Payments, Cryptoasset Exchange","Money Transfer (Cryptoasset), Money Transfer (P2P / P2B / B2P / B2B), Retail Brokerage Services",2019.0,2019,Private,India,India,Nov-50,,,,Active
3788,wangcaigu.com,Digital Lending,P2P / Marketplace Business Lending,2014.0,2014,Private,China,China,30,,,,Active
3789,Wangtouwang.com,Digital Lending,P2P / Marketplace Consumer Lending,2014.0,2014,Private,China,China,,,,,Active
3790,Wapi Pay,Digital Payments,"Money Transfer (P2P / P2B / B2P / B2B), Acquiring Services Providers for Merchants",2019.0,2019,Private,Singapore,Singapore,10-Jan,,,,Active
3791,WariHash,Consensus Services,"Hashrate Brokerage, Cloud Mining",,2019,Private,Unidentified,United States,,,,,Active
3792,Warrantee,InsurTech,On-Demand Insurance,2013.0,2021,Private,Japan,Japan,,,,,Active
3793,WaterDrop Inc.,"Digital Capital Raising, InsurTech","Donation-Based Crowdfunding, P2P Insurance, Digital Brokers or Agents",2016.0,2016,Private,China,China,5001-10000,,,,Active
3794,Watu Credit,Digital Lending,Crowd-Led Microfinance,2019.0,2015,Private,Kenya,Kenya,51-200,,,,Active
3795,Wave,"Enterprise Tech Provisioning, WealthTech","Digital Accounting, Financial Management & Business Intelligence, Electronic Invoicing, Personal Financial Management / Planning",2019.0,2010,Private,Canada,Canada,201-500,,,,Active
3796,Wave Money,"Digital Payments, Digital Banks","Mobile Money, Money Transfer (P2P / P2B / B2P / B2B), Top-ups & Refills, API Hubs for Payments, Agent Banking (Cash-In / Cash-Out)",2015.0,2016,Private,Myanmar,Myanmar,201-500,,,,Active
3797,WayaWaya,"Digital Payments, Digital Banks","Money Transfer (P2P / P2B / B2P / B2B), API Hubs for Payments, Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P), Banking-as-a-Service (BaaS)",2014.0,2016,Private,United States,Kenya,10-Jan,,,,Active
3798,Wayhoty,Digital Lending,"P2P / Marketplace Consumer Lending, Balance Sheet Business Lending, Balance Sheet Consumer Lending",2017.0,2018,Private,Kenya,Kenya,10-Jan,,,,Active
3799,Wayi ,Consensus Services,"Pool Operation, Equipment Procurement & Financing, Proprietary Hashing, Hardware Manufacturing, Cloud Mining",2015.0,2017,Private,China,China,55,2021.0,,,Inactive
3800,WazInsure,"Enterprise Tech Provisioning, InsurTech","Financial Management & Business Intelligence, Claims & Risk Management Solutions",2017.0,2017,Private,Kenya,Kenya,10-Jan,,,,Active
3801,WazirX,Cryptoasset Exchange,"Order-Book, P2P Cryptoasset Marketplaces",,2018,Private,Unidentified,India,11,2019.0,,,Inactive
3802,We Do Good,Digital Capital Raising,Revenue / Profit Share Crowdfunding,2015.0,2015,Private,France,France,10-Jan,,,,Active
3803,We Use Coins,Cryptoasset Exchange,"Aggregation, Education and Training",2010.0,2011,Private,United States,St. Kitts and Nevis,,2018.0,,,Inactive
3804,Wealth Migrate,Digital Capital Raising,Real Estate Crowdfunding,2010.0,2013,Private,South Africa,United States,30,,,,Active
3805,WealthApp,WealthTech,Robo-Advisors,2016.0,2019,Private,India,India,Nov-50,,,,Active
3806,WealthArc,WealthTech,"Digital Wealth Management, API Interface",,2015,Private,Switzerland,Switzerland,Nov-50,,,,Active
3807,WealthBucket,WealthTech,Personal Financial Management / Planning,2017.0,2019,Private,India,India,51-200,,,,Active
3808,WealthDesk,WealthTech,"Personal Financial Management / Planning, Digital Wealth Management",2016.0,2017,Private,India,India,Nov-50,,,,Active
3809,WealthForge,Digital Capital Raising,Equity-Based Crowdfunding,2010.0,2013,Private,United States,United States,30,,,,Active
3810,Wealthfront,"WealthTech, Digital Lending, Digital Banks, Digital Payments","Digital Wealth Management, Robo-Advisors, Personal Financial Management / Planning, Balance Sheet Consumer Lending, Fully Digitally Native Bank (Retail), Money Transfer (P2P / P2B / B2P / B2B), KYC & AML",2007.0,2008,Private,United States,United States,201-500,,,,Active
