Name,Segments,Categories,Incorporation year,Launch year,Ownership type,Incorporation Country,Operational HQ,Number of employees,Cessation date,Cessation of op. reason,Acquisition status,Status
Stasis,"Digital Payments, Digital Custody","Asset-Backed Stablecoin, Hosted Cryptoasset Wallet, Government",2018,2017,Private,Malta,Malta,Nov-50,,,,Active
Steady,WealthTech,Personal Financial Management / Planning,2017,2018,Private,United States,United States,51-200,,,,Active
Step,"Digital Payments, WealthTech","Money Transfer (P2P / P2B / B2P / B2B), Personal Financial Management / Planning, Education and Training",2018,2020,Private,United States,United States,51-200,,,,Active
Steven,"Digital Payments, WealthTech","eMoney Issuers, Money Transfer (P2P / P2B / B2P / B2B), Personal Financial Management / Planning",2015,2018,Private,Sweden,Sweden,Nov-50,,,,Active
Stobox,"Enterprise Tech Provisioning, Digital Capital Raising, RegTech","Enterprise Blockchain, Token Hosting Platform, Real Estate Crowdfunding, Equity-Based Crowdfunding, Dynamic Compliance",2020,2018,Private,United States,United States,Nov-50,,,,Active
Stockbit,WealthTech,Social Trading,2016,2012,Private,Singapore,Indonesia,51-200,,,,Active
StockCrowd,"Digital Lending, Digital Capital Raising","P2P / Marketplace Consumer Lending, Equity-Based Crowdfunding, P2P / Marketplace Property Lending, Real Estate Crowdfunding",2016,2016,Private,Spain,Spain,6,,,,Active
StockEdge,Enterprise Tech Provisioning,Financial Management & Business Intelligence,2006,2016,Private,India,India,201-500,,,,Active
Stockspot,WealthTech,"Robo-Advisors, Digital Wealth Management",2013,2014,Private,Australia,Australia,Nov-50,,,,Active
STOKR,"Digital Capital Raising, Enterprise Tech Provisioning","Revenue / Profit Share Crowdfunding, Capital Raising Retail Brokerage, Enterprise Blockchain",2018,2018,Public,Luxembourg,Luxembourg,10-Jan,,,,Active
StoneCo,"Enterprise Tech Provisioning, Digital Payments, Digital Lending, InsurTech","Financial Management & Business Intelligence, Payment Gateways, Acquiring Services Providers for Merchants, Points of Access (PoS / mPoS / Online PoS), Top-ups & Refills, Money Transfer (P2P / P2B / B2P / B2B), API Hubs for Payments, Merchant Cash-Advance, Digital Brokers or Agents",2012,2012,Public,Cayman Islands,Brazil,1001-5000,,,,Active
Stonestep,InsurTech,"Claims & Risk Management Solutions, Customer Management, P2P Insurance, Technical Service Provider (TSP)",2012,2012,Private,Switzerland,Switzerland,Nov-50,,,,Active
Stori,"Digital Lending, Digital Payments","Balance Sheet Consumer Lending, Money Transfer (P2P / P2B / B2P / B2B)",2019,2019,Private,Mexico,Mexico,51-200,,,,Active
StormGain,"Cryptoasset Exchange, Digital Custody, Consensus Services","Order-Book, Retail Brokerage Services, Advanced Trading Services, Hosted Cryptoasset Wallet, Cloud Mining",,2019,Private,St. Vincent and the Grenadines,United Kingdom,,,,,Active
Strategic Funding Source,Digital Lending,Balance Sheet Business Lending,2006,2006,Private,United States,United States,76,,,,Active
Stratum,"Cryptoasset Exchange, Digital Payments, Digital Custody","Retail Brokerage Services, Money Transfer (Cryptoasset), Single Dealer Platform / OTC Trading, Hosted Cryptoasset Wallet",2011,2017,Private,"Hong Kong SAR, China","Hong Kong SAR, China",Nov-50,,,,Active
Stratzy,WealthTech,Robo-Advisors,2021,2020,Private,India,India,10-Jan,,,,Active
Streak ,WealthTech,"Personal Financial Management / Planning, Robo-Advisors",2017,2017,Private,India,India,Nov-50,,,,Active
Streami,"Cryptoasset Exchange, Digital Custody","Order-Book, Single Dealer Platform / OTC Trading, Third-Party Custody",2015,2016,Private,"Korea, Rep.","Korea, Rep.",,,,,Active
StreetShares Platform,Digital Lending,P2P / Marketplace Business Lending,2013,2014,Private,United States,United States,30,,,,Active
Stripe,"Digital Payments, Enterprise Tech Provisioning, RegTech","Payment Aggregators, API Hubs for Payments, Payment Gateways, Acquiring Services Providers for Merchants, API Management, Electronic Invoicing, Cloud Computing, Digital Accounting, Risk Analytics, Dynamic Compliance, Regulatory Reporting, Data aggregation",2019,2011,Private,United States,United States,1001-5000,,,,Active
StrongBlock,Consensus Services,"Firmware & Software Development, Pool Operation, Staking-as-a-Service, Node manufacturing, Cross-chain project , Staking Pool Operation",2018,2018,Private,United States,Cayman Islands,10-Jan,,,,Active
StudentFunder,Digital Lending,P2P / Marketplace Consumer Lending,2012,2013,Private,United Kingdom,United Kingdom,6,,,,Active
Study Loans,Digital Lending,Balance Sheet Consumer Lending,2017,2016,Private,Australia,Australia,Nov-50,,,,Active
Sub-K,"Digital Payments, Digital Savings, Digital Lending","eMoney Issuers, Money Transfer (P2P / P2B / B2P / B2B), Payment Gateways, Digital Micro Saving Solutions, Balance Sheet Consumer Lending",2010,2010,Private,India,India,1001-5000,,,,Active
Sugi,WealthTech,"Personal Financial Management / Planning, Education and Training",2018,2020,Private,United Kingdom,United Kingdom,10-Jan,,,,Active
Suijin ,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2014,2014,Private,China,China,,2020,,,Inactive
Sumame.co,Digital Capital Raising,"Reward-Based Crowdfunding, Donation-Based Crowdfunding",2012,2013,Private,Colombia,Colombia,,,,,Active
Sumsub,"Digital Identity, RegTech, Enterprise Tech Provisioning, Alternative Credit Analytics","Fraud Prevention & Risk Management, KYC Solutions, Security & Biometrics, Risk Analytics, Profiling & Due Diligence, Dynamic Compliance, Regulatory Reporting, AI / ML / NLP, Credit Scoring",2015,2015,Private,United Kingdom,United Kingdom,51-200,,,,Active
SumUp,"Digital Payments, Enterprise Tech Provisioning, Digital Banks","Points of Access (PoS / mPoS / Online PoS), Payment Gateways, Financial Management & Business Intelligence, Electronic Invoicing, Agent Banking (Cash-In / Cash-Out)",2011,2012,Private,United Kingdom,United Kingdom,2553,,,,Active
Sun Funding,Digital Lending,P2P / Marketplace Property Lending,2016,2016,Private,"Korea, Rep.","Korea, Rep.",,,,,Active
Sunbit,"Digital Lending, Digital Payments","Customer Cash-Advance, Acquiring Services Providers for Merchants, Points of Access (PoS / mPoS / Online PoS)",2015,2016,Private,United States,United States,201-500,,,,Active
Sunrate,"Digital Payments, WealthTech","Payment Gateways, Money Transfer (P2P / P2B / B2P / B2B), Bulk Payment Solutions, Settlement & Clearing Services Providers, API Hubs for Payments, Digital Remittances (Cross Border-P2P), Social Trading, API Interface",2016,2016,Private,"Hong Kong SAR, China","Hong Kong SAR, China",51-200,,,,Active
SUPERFLUID LABS,"Enterprise Tech Provisioning, Alternative Credit Analytics","Financial Management & Business Intelligence, AI / ML / NLP, API Management, Credit Scoring",2015,2016,Private,Kenya,Kenya,Nov-50,,,,Active
Superscript,InsurTech,Digital Brokers or Agents,2014,2015,Private,United Kingdom,United Kingdom,51-200,,,,Active
Sure,InsurTech,"On-Demand Insurance, Digital Brokers or Agents",,2015,Private,United States,United States,51-200,,,,Active
SureCash,"Digital Payments, Digital Banks","Money Transfer (P2P / P2B / B2P / B2B), Top-ups & Refills, Payment Gateways, Agent Banking (Cash-In / Cash-Out)",2013,2014,Private,Singapore,Bangladesh,201-500,,,,Active
SustVest,Digital Capital Raising,Equity-Based Crowdfunding,2017,2018,Private,United Arab Emirates,United Arab Emirates,10-Jan,,,,Active
Suvidhaa,Digital Payments,Payment processor,2007,2007,Private,India,India,51-200,,,,Active
Swap.ly,"Digital Payments, Cryptoasset Exchange","Payment processor, Retail Brokerage Services, Money Transfer (Cryptoasset)",2006,2013,Private,Estonia,Estonia,,,,,Active
Swarm,"Digital Capital Raising, Digital Payments","Token Hosting Platform, Asset-Backed Stablecoin",2014,2014,Private,United States,United States,Nov-50,,,,Active
Sweet,Digital Lending,P2P / Marketplace Property Lending,2015,2015,Private,"Korea, Rep.",United States,30,,,,Active
Swile,Digital Payments,Money Transfer (P2P / P2B / B2P / B2B),2016,2018,Private,France,France,201-500,,,,Active
Swipe.io,"Digital Payments, Cryptoasset Exchange, Digital Custody","Consumer Spending, Retail Brokerage Services, Hosted Cryptoasset Wallet",2019,2019,Private,United Kingdom,United Kingdom,Nov-50,2020,,,Inactive
Swipez,"Enterprise Tech Provisioning, Digital Payments","Electronic Invoicing, Bulk Payment Solutions, API Hubs for Payments",2013,2017,Private,India,India,10-Jan,,,,Active
Swiss CEX,Cryptoasset Exchange,Retail Brokerage Services,,2014,Private,Switzerland,Switzerland,10-Jan,,,,Active
SwissLending,Digital Lending,P2P / Marketplace Property Lending,2016,2016,Private,Switzerland,Switzerland,10-Jan,,,,Active
Swisspeers,Digital Lending,P2P / Marketplace Business Lending,2015,2015,Private,Switzerland,Switzerland,6,,,,Active
Swyfft,InsurTech,"Digital Brokers or Agents, Customer Management, Claims & Risk Management Solutions, Data aggregation",2014,2014,Private,United States,United States,51-200,,,,Active
swys,"Digital Payments, Enterprise Tech Provisioning, Digital Custody","Payment Gateways, API Hubs for Payments, Digital Remittances (Domestic-P2P), Money Transfer (P2P / P2B / B2P / B2B), Points of Access (PoS / mPoS / Online PoS), Digital Remittances (Cross Border-P2P), Mobile Money, API Management, Electronic Invoicing, eMoney Wallet, Application development, API Interface",2018,2020,Private,United States,United States,10-Jan,,,,Active
Sygnum,"Cryptoasset Exchange, Digital Custody, Digital Payments","Retail Brokerage Services, Key Management Services, Lending / Borrowing, Asset-Backed Stablecoin",2018,2019,Private,Switzerland,Switzerland,,,,,Active
Symbid,Digital Capital Raising,Equity-Based Crowdfunding,2011,2015,Private,Netherlands,Netherlands,30,,,,Active
Symbiont,Enterprise Tech Provisioning,Enterprise Blockchain,2014,2015,Private,United States,United States,51-200,,,,Active
SYMBO,InsurTech,Digital Brokers or Agents,2017,2018,Private,India,India,51-200,,,,Active
Symphony,"Enterprise Tech Provisioning, Cryptoasset Exchange","AI / ML / NLP, High-Frequency Trading (HFT) Services",2001,2010,Private,India,India,Nov-50,,,,Active
Symple Loans,Digital Lending,Balance Sheet Consumer Lending,2018,2018,Private,Australia,Australia,Nov-50,,,,Active
SympliFi,"Digital Lending, Digital Savings, Digital Payments, Digital Banks","P2P / Marketplace Consumer Lending, Digital Micro Saving Solutions, Digital Remittances (Cross Border-P2P), Marketplace Bank (Retail)",2017,2017,Private,United Kingdom,United Kingdom,10-Jan,,,,Active
Synctera,"Enterprise Tech Provisioning, RegTech, Digital Identity","API Management, Digital Accounting, Risk Analytics, Dynamic Compliance, Fraud Prevention & Risk Management, KYC Solutions, Application development",2020,2020,Private,United States,United States,51-200,,,,Active
SyndicateRoom,Digital Capital Raising,Equity-Based Crowdfunding,2013,2013,Private,United Kingdom,United Kingdom,30,,,,Active
Synthetix,"Cryptoasset Exchange, Digital Payments, Consensus Services","Decentralised Exchange (DEX) Relayer, Advanced Trading Services, Asset-Backed Stablecoin, Staking-as-a-Service",,2018,Private,Australia,Australia,Nov-50,,,,Active
Syntizen,Digital Identity,"KYC Solutions, Security & Biometrics",2014,2014,Private,India,India,51-200,,,,Active
Sysmosoft,"Digital Banks, WealthTech","Fully Digitally Native Bank (Retail), Banking-as-a-Service (BaaS), Digital Wealth Management",2010,2010,Private,Switzerland,Switzerland,Nov-50,,,,Active
TabTrader,Cryptoasset Exchange,Aggregation,2013,2014,Private,Netherlands,Netherlands,,,,,Active
TaejaiDotcom,Digital Capital Raising,Donation-Based Crowdfunding,2017,2011,Private,Thailand,Thailand,10-Jan,,,,Active
TAG,Digital Payments,"Money Transfer (P2P / P2B / B2P / B2B), Top-ups & Refills",2020,2020,Private,Pakistan,Pakistan,Nov-50,,,,Active
Tagomi,Cryptoasset Exchange,"Single Dealer Platform / OTC Trading, Retail Brokerage Services, Lending / Borrowing, API Interface",2018,2018,Private,United States,United States,10-Jan,2020,,,Inactive
TagPesa,"Cryptoasset Exchange, Digital Payments","Order-Book, Money Transfer (Cryptoasset)",2014,2014,Private,Kenya,Kenya,,2015,,,Inactive
Take Space AB,Digital Capital Raising,"Reward-Based Crowdfunding, Donation-Based Crowdfunding",2011,2016,Private,Sweden,Sweden,6,,,,Active
Tala,Alternative Credit Analytics,"Sociometric Analytics, Credit Scoring, Psychometric Analytics",2011,2011,Private,United States,United States,501-1000,,,,Active
TalkLift,Enterprise Tech Provisioning,"AI / ML / NLP, API Management",2017,2017,Private,Kenya,Kenya,10-Jan,,,,Active
Tally,Digital Lending,Balance Sheet Consumer Lending,2015,2015,Private,United States,United States,51-200,,,,Active
Tanda,"Digital Payments, Digital Savings","Money Transfer (P2P / P2B / B2P / B2B), Digital Micro Saving Solutions, Application development",,2020,Private,Jordan,Jordan,10-Jan,,,,Active
Tanda Kenya,"Enterprise Tech Provisioning, Digital Lending, Digital Payments, InsurTech","Financial Management & Business Intelligence, Merchant Cash-Advance, Top-ups & Refills, Acquiring Services Providers for Merchants, eMoney Issuers, Digital Brokers or Agents",2017,2018,Private,Kenya,Kenya,51-200,,,,Active
Tandem ,Digital Banks,"Fully Digitally Native Bank (Retail), Agent Banking (Cash-In / Cash-Out)",2013,2015,Private,United Kingdom,United Kingdom,51-200,,,,Active
Tangazoletu Ltd,"Digital Banks, InsurTech","Banking-as-a-Service (BaaS), Agent Banking (Cash-In / Cash-Out), Technical Service Provider (TSP)",,2012,Private,Unidentified,Kenya,Nov-50,,,,Active
Tangible Cryptography,Cryptoasset Exchange,Retail Brokerage Services,2013,2012,Private,United States,United States,,2014,,,Inactive
Tanker,"Digital Lending, Digital Capital Raising","P2P / Marketplace Property Lending, Real Estate Crowdfunding",2015,2015,Private,"Korea, Rep.",France,30,,,,Active
Taotao,Cryptoasset Exchange,"Aggregation, Retail Brokerage Services, Institutional Brokerage Services, Order-Book",2017,2019,Private,Japan,Japan,Nov-50,2020,,,Inactive
Tappoyo Fintech,Digital Lending,Balance Sheet Consumer Lending,2018,2018,Private,Peru,Peru,10-Jan,,,,Active
Taralite,Digital Lending,P2P / Marketplace Business Lending,2015,2015,Private,Indonesia,Indonesia,30,,,,Active
Tartan ,Alternative Credit Analytics,Credit Scoring,2021,2021,Private,India,India,Nov-50,,,,Active
Tarya,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending",2014,2014,Private,Israel,Israel,76,,,,Active
TasaTop,WealthTech,"Savings-as-a-Service (SaaS), Personal Financial Management / Planning",,2016,Private,Peru,Peru,Nov-50,,,,Active
Taulia,Digital Lending,Invoice Trading,2009,2009,Private,United States,United States,176,,,,Active
Tauros,"Digital Payments, Cryptoasset Exchange","Money Transfer (P2P / P2B / B2P / B2B), Retail Brokerage Services",2017,2019,Private,Mexico,Mexico,10-Jan,,,,Active
Tavaga,WealthTech,Robo-Advisors,2015,2016,Private,India,India,10-Jan,,,,Active
TaxBit,"Enterprise Tech Provisioning, RegTech","Digital Accounting, API Management, Dynamic Compliance, Taxation",2018,2018,Private,United States,United States,51-200,,,,Active
Taxdoo ,RegTech,"Dynamic Compliance, Regulatory Reporting",2016,2016,Private,Germany,Germany,201-500,,,,Active
TaxJar,RegTech,"Dynamic Compliance, Compliance, Taxation",2013,2013,Private,United States,United States,51-200,,,,Active
Tayyab,"Digital Banks, Digital Payments, WealthTech","Fully Digitally Native Bank (Retail), Money Transfer (P2P / P2B / B2P / B2B), Mobile Money, Personal Financial Management / Planning",2020,2019,Private,Kazakhstan,Kazakhstan,Nov-50,,,,Active
TCC Technology,Enterprise Tech Provisioning,"Cloud Computing, Financial Management & Business Intelligence",2001,2002,Private,Thailand,Thailand,51-200,,,,Active
Tchyon,WealthTech,Personal Financial Management / Planning,2020,2020,Private,India,India,10-Jan,,,,Active
TCPL,Digital Lending,Balance Sheet Consumer Lending,2018,2019,Private,India,India,51-200,,,,Active
TeamApt,"Digital Savings, Digital Payments","Digital Micro Saving Solutions, Points of Access (PoS / mPoS / Online PoS), Payment Gateways, Bulk Payment Solutions",2015,2015,Private,Nigeria,Nigeria,51-200,,,,Active
